"","Comparison","SIMPER","OTU"
"1","1yr_2w",0.0983760952002948,"Otu00002"
"2","1yr_2w",0.0643429812209152,"Otu00001"
"3","1yr_2w",0.059814420014553,"Otu00003"
"4","1yr_2w",0.043254443848701,"Otu00007"
"5","1yr_2w",0.032500932232854,"Otu00011"
"6","1yr_2w",0.028861881829075,"Otu00006"
"7","1yr_2w",0.024270230681437,"Otu00009"
"8","1yr_2w",0.014654607933432,"Otu00014"
"9","1yr_2w",0.013241473967396,"Otu00022"
"10","1yr_2w",0.013143755400476,"Otu00018"
"11","1yr_2w",0.012431390357538,"Otu00012"
"12","1yr_2w",0.012249980054458,"Otu00016"
"13","1yr_2w",0.011256623251136,"Otu00004"
"14","1yr_2w",0.010129194115769,"Otu00021"
"5003","1yr_8w",0.0376560323802521,"Otu00001"
"5004","1yr_8w",0.0356947491021932,"Otu00005"
"5005","1yr_8w",0.0267585191971277,"Otu00006"
"5006","1yr_8w",0.022153382610294,"Otu00004"
"5007","1yr_8w",0.018614937190912,"Otu00010"
"5008","1yr_8w",0.016007395628362,"Otu00017"
"5009","1yr_8w",0.015165896969144,"Otu00008"
"5010","1yr_8w",0.015137420479094,"Otu00009"
"5011","1yr_8w",0.013887124239801,"Otu00015"
"5012","1yr_8w",0.01348689566677,"Otu00018"
"5013","1yr_8w",0.012573204203004,"Otu00016"
"5014","1yr_8w",0.012514113254386,"Otu00014"
"5015","1yr_8w",0.011375010175498,"Otu00029"
"5016","1yr_8w",0.010601901246815,"Otu00019"
"5017","1yr_8w",0.010400132475867,"Otu00021"
"10005","2w_8w",0.110139034006507,"Otu00002"
"10006","2w_8w",0.070274296564485,"Otu00001"
"10007","2w_8w",0.066265261269552,"Otu00003"
"10008","2w_8w",0.048569279133863,"Otu00007"
"10009","2w_8w",0.039937569065732,"Otu00009"
"10010","2w_8w",0.039334409088334,"Otu00005"
"10011","2w_8w",0.0355700872344279,"Otu00011"
"10012","2w_8w",0.029688138874924,"Otu00004"
"10013","2w_8w",0.024416435440736,"Otu00010"
"10014","2w_8w",0.017672739089483,"Otu00017"
"10015","2w_8w",0.016919957006409,"Otu00008"
"10016","2w_8w",0.01670700772156,"Otu00012"
"10017","2w_8w",0.015305507942289,"Otu00015"
"10018","2w_8w",0.0146779937502001,"Otu00022"
"10019","2w_8w",0.0125368272355489,"Otu00029"
"10020","2w_8w",0.012417999784185,"Otu00013"
"10021","2w_8w",0.011990487616809,"Otu00019"
