"","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left mean abund","Left stdev","Right mean abund","Right stdev"
"1","1yr_2w",0.0983760952002948,"Otu00002",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii;","7.11845102505695e-06","2.01340199654484e-05","0.196185324113124","0.237964225950146"
"2","1yr_2w",0.0643429812209152,"Otu00001",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii;","7.10913950975374e-06","2.01076830229923e-05","0.128370196584475","0.163518290828978"
"3","1yr_2w",0.059814420014553,"Otu00003",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens;","0","0","0.119333402823358","0.180003455829014"
"4","1yr_2w",0.043254443848701,"Otu00007",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;g__Bifidobacterium_unclassified;","0","0","0.0862865503350716","0.160256975806244"
"5","1yr_2w",0.032500932232854,"Otu00011",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Butyricicoccus;s__pullicaecorum;","7.10913950975374e-06","2.01076830229923e-05","0.0648314243899582","0.07929234445691"
"6","1yr_2w",0.028861881829075,"Otu00006",0.00044634624164943,0.0013833590660172,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;f__Ruminococcaceae_unclassified;f__Ruminococcaceae_unclassified;","0.0576048927649059","0.00987764114455286","7.14122486288848e-06","2.01984341061057e-05"
"7","1yr_2w",0.024270230681437,"Otu00009",0.0272785116310676,0.0358517581436888,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens;","0","0","0.0484260502484597","0.136300018759695"
"8","1yr_2w",0.014654607933432,"Otu00014",0.000559240905749555,0.00151324009791056,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;f__Ruminococcaceae_unclassified;f__Ruminococcaceae_unclassified;","0.0292699697444718","0.00384866523180398","2.14179674789451e-05","4.25004543071092e-05"
"9","1yr_2w",0.013241473967396,"Otu00022",0.000763703739131532,0.00195168733333614,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea;g__Dorea_unclassified;","0.000142720847379308","0.000117843817294513","0.026558447100312","0.0395132558392752"
"10","1yr_2w",0.013143755400476,"Otu00018",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15;g__5-7N15_unclassified;","0.0262340097898727","0.00970968730145009","0","0"
"11","1yr_2w",0.012431390357538,"Otu00012",0.0272785116310676,0.0358517581436888,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;g__Bacteroides_unclassified;","0","0","0.0248127940656414","0.0642719067932488"
"12","1yr_2w",0.012249980054458,"Otu00016",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;o__Bacteroidales_unclassified;o__Bacteroidales_unclassified;o__Bacteroidales_unclassified;","0.0244676127767363","0.0148536675150644","0","0"
"13","1yr_2w",0.011256623251136,"Otu00004",0.00374258479486702,0.00748516958973403,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis;","0","0","0.022476432440375","0.0592444537939672"
"14","1yr_2w",0.010129194115769,"Otu00021",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;g__CF231_unclassified;","0.0202262575161955","0.00976976462053334","7.14122486288848e-06","2.01984341061057e-05"
"15","1yr_8w",0.0376560323802521,"Otu00001",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__prausnitzii;","7.10913950975374e-06","2.01076830229923e-05","0.0732926353297153","0.0980374199037812"
"16","1yr_8w",0.0356947491021932,"Otu00005",0.001193745444872,0.00274561452320561,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;f__S24-7_unclassified;f__S24-7_unclassified;","0","0","0.0694523480584903","0.109558610377261"
"17","1yr_8w",0.0267585191971277,"Otu00006",0.0110491256127801,0.018824436229181,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;f__Ruminococcaceae_unclassified;f__Ruminococcaceae_unclassified;","0.0576048927649059","0.00987764114455286","0.0150590524259111","0.0337108011066655"
"18","1yr_8w",0.022153382610294,"Otu00004",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__uniformis;","0","0","0.0431226023826681","0.0459506953192825"
"19","1yr_8w",0.018614937190912,"Otu00010",0.00370900999097481,0.00748516958973403,"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__reuteri;","0","0","0.0362069928081241","0.101899345043138"
"20","1yr_8w",0.016007395628362,"Otu00017",0.0272785116310676,0.0358517581436888,"k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Olsenella;g__Olsenella_unclassified;","0","0","0.0311684825139048","0.0821349438860236"
"21","1yr_8w",0.015165896969144,"Otu00008",0.000331065830938524,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;g__Bacteroides_unclassified;","0","0","0.0295108853230356","0.0264988241909802"
"22","1yr_8w",0.015137420479094,"Otu00009",0.31731050786291,0.33173371276577,"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__perfringens;","0","0","0.0294428873763084","0.0832770612859979"
"23","1yr_8w",0.013887124239801,"Otu00015",0.144127034816016,0.161703502476505,"k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Treponema;g__Treponema_unclassified;","0","0","0.0270100689858371","0.0607214408149042"
"24","1yr_8w",0.01348689566677,"Otu00018",0.000451095347614305,0.0013833590660172,"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15;g__5-7N15_unclassified;","0.0262340097898727","0.00970968730145009","7.09944908275118e-06","2.00802743564079e-05"
