Sample	Animal	AgeGroup	AgeExact	ADGKG	chao	shannon	simpson	ace
5017.1yr.F	cow5017	1yr	369	0.88	1051.629032	5.402979	0.009881	1065.99116
5017.2w.F	cow5017	2w	13	1	204.115385	2.41712	0.199625	288.95511
5017.8w.F	cow5017	8w	53	1.38	473.964286	3.728177	0.061216	491.633463
5020.1yr.F	cow5020	1yr	365	1.07	997.78	5.424671	0.009574	973.458149
5020.2w.F	cow5020	2w	15	1.01	164.545455	2.74921	0.11642	203.576567
5020.8w.F	cow5020	8w	54	1	297.5	3.407605	0.09089	266.246739
5026.1yr.F	cow5026	1yr	365	0.98	1236.845361	4.847808	0.027903	1522.887943
5026.2w.F	cow5026	2w	11	1.56	93.333333	1.921897	0.267204	90.476642
5026.8w.F	cow5026	8w	53	1.23	209	2.492355	0.142971	167.997617
5031.1yr.F	cow5031	1yr	368	0.86	1067.040816	5.4246	0.009959	1118.659337
5031.2w.F	cow5031	2w	15	1.22	198	1.605164	0.441057	163.621239
5031.8w.F	cow5031	8w	53	1.37	437.078947	4.14176	0.037557	495.930212
5037.1yr.F	cow5037	1yr	358	0.94	1261.616822	5.348746	0.01119	1189.619346
5037.2w.F	cow5037	2w	11	0.35	134.333333	2.561796	0.126765	171.52137
5037.8w.F	cow5037	8w	54	0.95	192.071429	3.068319	0.130861	182.748422
5041.1yr.F	cow5041	1yr	364	0.93	1044.39726	5.389403	0.011475	1069.329594
5041.2w.F	cow5041	2w	11	1.11	74.909091	1.705386	0.305773	90.93356
5041.8w.F	cow5041	8w	54	1.35	344.774194	3.728653	0.070257	340.983866
5045.1yr.F	cow5045	1yr	367	0.91	976.347826	5.058385	0.015845	959.912055
5045.2w.F	cow5045	2w	14	0.91	111	1.103551	0.427582	176.582002
5045.8w.F	cow5045	8w	55	0.9	285.607143	3.248851	0.104953	281.148045
5053.1yr.F	cow5053	1yr	365	0.93	1267.046154	5.441249	0.010317	1533.986761
5053.2w.F	cow5053	2w	11	0.05	249.111111	2.113214	0.200172	424.044117
5053.8w.F	cow5053	8w	55	0.88	315.772727	3.8749	0.039488	297.363033
